F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1000    9675    9314  0  80   0 - 369529657 futex_ ?    00:00:04 code
0 S  1000    9951    9644  0  80   0 -  3127 do_wai pts/0    00:00:00 bash
0 S  1000   10124    9659  0  80   0 - 24857 unix_s ?        00:00:19 cpptools
0 S  1000   10253    1770  0  80   0 - 1066068 hrtime ?      00:00:01 cpptools-srv
4 S  1000   10352    2698  1  80   0 - 369152545 do_pol ?    00:00:48 obsidian
0 S  1000   10421   10352  0  80   0 - 8519930 do_pol ?      00:00:00 obsidian
0 S  1000   10422   10352  0  80   0 - 8519926 do_pol ?      00:00:00 obsidian
1 S  1000   10458   10421  1  80   0 - 8622616 do_pol ?      00:00:52 obsidian
0 S  1000   10468   10352  0  80   0 - 8472954 futex_ ?      00:00:00 obsidian
0 S  1000   10480   10352  4  80   0 - 370037869 futex_ ?    00:03:23 obsidian
4 S     0   15060       1  0  80   0 - 120790 -     ?        00:00:01 fwupd
1 I     0   16461       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:2-events
1 I     0   16725       2  0  80   0 -     0 -      ?        00:00:00 kworker/3:0-events
1 I     0   18534       2  0  80   0 -     0 -      ?        00:00:03 kworker/u16:2-flush-259:0
1 I     0   26024       2  0  80   0 -     0 -      ?        00:00:00 kworker/5:1-events
1 I     0   30133       2  0  80   0 -     0 -      ?        00:00:02 kworker/4:2-events
5 S  1000   30447    8524  1  80   0 - 719383 do_pol ?       00:00:19 Isolated Web Co
1 I     0   31331       2  0  80   0 -     0 -      ?        00:00:00 kworker/6:0-events
1 I     0   31332       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:0-events
1 I     0   31336       2  0  80   0 -     0 -      ?        00:00:00 kworker/2:0-mm_percpu_wq
1 I     0   31337       2  0  80   0 -     0 -      ?        00:00:00 kworker/3:2-events
1 I     0   32368       2  0  60 -20 -     0 -      ?        00:00:01 kworker/u17:0-i915_flip
5 S  1000   32940    8524  0  80   0 - 685968 do_pol ?       00:00:03 Isolated Web Co
1 I     0   33151       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:0-events
1 I     0   33152       2  0  80   0 -     0 -      ?        00:00:00 kworker/7:2-events
0 S  1000   33633    1770  0  80   0 - 1066161 hrtime ?      00:00:00 cpptools-srv
1 I     0   33884       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:1
1 I     0   33896       2  0  80   0 -     0 -      ?        00:00:00 kworker/4:0-inet_frag_wq
1 I     0   35031       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u17:1-i915_flip
0 S  1000   36070    1770  0  80   0 - 1066072 hrtime ?      00:00:00 cpptools-srv
0 S  1000   36653    1770  1  80   0 - 210024 do_pol ?       00:00:05 gnome-terminal-
0 S  1000   36674   36653  0  80   0 -  3773 do_sel pts/1    00:00:00 bash
1 I     0   37074       2  0  80   0 -     0 -      ?        00:00:00 kworker/u16:1-events_unbound
1 I     0   37075       2  0  80   0 -     0 -      ?        00:00:00 kworker/u16:3-events_unbound
5 S  1000   38153    8524  1  80   0 - 674164 do_pol ?       00:00:04 Isolated Web Co
1 I     0   38275       2  0  80   0 -     0 -      ?        00:00:00 kworker/2:2-i915-unordered
5 S  1000   38661    8524  0  80   0 - 645148 do_pol ?       00:00:00 Web Content
1 I     0   38762       2  0  80   0 -     0 -      ?        00:00:00 kworker/4:1-events
5 S  1000   38825    8524  0  80   0 - 645375 do_pol ?       00:00:00 Web Content
5 S  1000   39126    8524  0  80   0 - 645375 do_pol ?       00:00:00 Web Content
1 I     0   40241       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u17:2
4 R  1000   40311    9951 99  80   0 -  2825 -      pts/0    00:00:00 ps
